0	12.53239349798826
1	9.047034505752357
2	14.962860824489482
3	11.99436059054963
4	10.665311048497855
5	13.561949771713556
6	10.912841561391694
7	14.477191222817163
8	11.60967340525716
9	11.035513783778093
10	13.356764187593765
11	8.80051305989686
12	14.544411748014523
13	12.280179352010363
14	14.059187641311203
15	10.847873499310124
16	13.886179621971733
17	10.64238506862941
18	13.705098206654553
19	10.861846177389129
20	13.206212842387606
21	12.272747414949269
22	10.989909242122636
23	12.720163925099392
24	8.97553067225877
25	14.964109439577156
26	8.854576967129999
27	12.998605991213983
28	12.720674226758497
29	9.007232427923133
30	9.009104239102294
